# File: FoodProcessing_energy_region_IAA.csv
# Title: FoodProcessing and FoodProcessing_enuse energy by IAA region
# Units: EJ
# Description: Regional FoodProcessing energy consumption
# Source: World FoodProcessing Association
# Column types: ciccnc
# ----------
flow,year,IAA_region,fuel,value,unit
FoodProcessing,1998,China,electricity,0.1327968,EJ
FoodProcessing,1999,China,electricity,0.1459332,EJ
FoodProcessing,2000,China,electricity,0.1556928,EJ
FoodProcessing,2001,China,electricity,0.1877364,EJ
FoodProcessing,2002,China,electricity,0.2389644,EJ
FoodProcessing,2003,China,electricity,0.3000564,EJ
FoodProcessing,2004,China,electricity,0.3562452,EJ
FoodProcessing,2005,China,electricity,0.4095504,EJ
FoodProcessing,2006,China,electricity,0.4946472,EJ
FoodProcessing,2007,China,electricity,0.6544188,EJ
FoodProcessing,2008,China,electricity,0.6985296,EJ
FoodProcessing,2009,China,electricity,0.6980976,EJ
FoodProcessing,2010,China,electricity,0.872172,EJ
FoodProcessing,2011,China,electricity,1.0053432,EJ
FoodProcessing,2012,China,electricity,1.1729016,EJ
FoodProcessing,2013,China,electricity,1.3124772,EJ
FoodProcessing,2014,China,electricity,1.3859928,EJ
FoodProcessing,2015,China,electricity,1.5388092,EJ
FoodProcessing,1980,Europe,electricity,0.215928,EJ
FoodProcessing,1981,Europe,electricity,0.2117556,EJ
FoodProcessing,1982,Europe,electricity,0.1951092,EJ
FoodProcessing,1983,Europe,electricity,0.1955916,EJ
FoodProcessing,1984,Europe,electricity,0.2039544,EJ
FoodProcessing,1985,Europe,electricity,0.1948932,EJ
FoodProcessing,1986,Europe,electricity,0.1986408,EJ
FoodProcessing,1987,Europe,electricity,0.1993464,EJ
FoodProcessing,1988,Europe,electricity,0.2030148,EJ
FoodProcessing,1989,Europe,electricity,0.2065032,EJ
FoodProcessing,1990,Europe,electricity,0.203778,EJ
FoodProcessing,1991,Europe,electricity,0.198288,EJ
FoodProcessing,1992,Europe,electricity,0.1837404,EJ
FoodProcessing,1993,Europe,electricity,0.1788012,EJ
FoodProcessing,1994,Europe,electricity,0.1726452,EJ
FoodProcessing,1995,Europe,electricity,0.1772676,EJ
FoodProcessing,1996,Europe,electricity,0.1892916,EJ
FoodProcessing,1997,Europe,electricity,0.1953756,EJ
FoodProcessing,1998,Europe,electricity,0.2142684,EJ
FoodProcessing,1999,Europe,electricity,0.219006,EJ
FoodProcessing,2000,Europe,electricity,0.225666,EJ
FoodProcessing,2001,Europe,electricity,0.2312856,EJ
FoodProcessing,2002,Europe,electricity,0.2372112,EJ
FoodProcessing,2003,Europe,electricity,0.243954,EJ
FoodProcessing,2004,Europe,electricity,0.3106872,EJ
FoodProcessing,2005,Europe,electricity,0.4542876,EJ
FoodProcessing,2006,Europe,electricity,0.46854,EJ
FoodProcessing,2007,Europe,electricity,0.496908,EJ
FoodProcessing,2008,Europe,electricity,0.5248584,EJ
FoodProcessing,2009,Europe,electricity,0.4380444,EJ
FoodProcessing,2010,Europe,electricity,0.4574052,EJ
FoodProcessing,2011,Europe,electricity,0.4179636,EJ
FoodProcessing,2012,Europe,electricity,0.4455108,EJ
FoodProcessing,2013,Europe,electricity,0.4157136,EJ
FoodProcessing,2014,Europe,electricity,0.4078044,EJ
FoodProcessing,2015,Europe,electricity,0.4424616,EJ
FoodProcessing,1980,GCC,electricity,0,EJ
FoodProcessing,1981,GCC,electricity,0,EJ
FoodProcessing,1982,GCC,electricity,0,EJ
FoodProcessing,1983,GCC,electricity,0,EJ
FoodProcessing,1984,GCC,electricity,0,EJ
FoodProcessing,1985,GCC,electricity,0,EJ
FoodProcessing,1986,GCC,electricity,0,EJ
FoodProcessing,1987,GCC,electricity,0,EJ
FoodProcessing,1988,GCC,electricity,0,EJ
FoodProcessing,1989,GCC,electricity,0,EJ
FoodProcessing,1990,GCC,electricity,0,EJ
FoodProcessing,1991,GCC,electricity,0,EJ
FoodProcessing,1992,GCC,electricity,0,EJ
FoodProcessing,1993,GCC,electricity,0,EJ
FoodProcessing,1994,GCC,electricity,0,EJ
FoodProcessing,1995,GCC,electricity,0,EJ
FoodProcessing,1996,GCC,electricity,0,EJ
FoodProcessing,1997,GCC,electricity,0,EJ
FoodProcessing,1998,GCC,electricity,0,EJ
FoodProcessing,1999,GCC,electricity,0,EJ
FoodProcessing,2000,GCC,electricity,0,EJ
FoodProcessing,2001,GCC,electricity,0,EJ
FoodProcessing,2002,GCC,electricity,0,EJ
FoodProcessing,2003,GCC,electricity,0,EJ
FoodProcessing,2004,GCC,electricity,0,EJ
FoodProcessing,2005,GCC,electricity,0,EJ
FoodProcessing,2006,GCC,electricity,0,EJ
