# File: FoodProcessing_prod_region_IAA.csv
# Title: FoodProcessing and FoodProcessing_enuse production by IAA region
# Units: Thousand tons
# Description: Regional FoodProcessing production
# Source: World FoodProcessing Association
# Column types: cicnc
# ----------
flow,year,IAA_region,value,unit
FoodProcessing,1983,South America,942,Thousand metric tons
FoodProcessing,1983,West Europe,3322,Thousand metric tons
FoodProcessing,1984,Africa,413,Thousand metric tons
FoodProcessing,1984,Asia (ex China),1182,Thousand metric tons
FoodProcessing,1984,China (Estimated),0,Thousand metric tons
FoodProcessing,1984,East & Central Europe,0,Thousand metric tons
FoodProcessing,1984,GCC,0,Thousand metric tons
FoodProcessing,1984,North America,5327,Thousand metric tons
FoodProcessing,1984,Oceania,998,Thousand metric tons
FoodProcessing,1984,South America,1035,Thousand metric tons
FoodProcessing,1984,West Europe,3502,Thousand metric tons
FoodProcessing,1985,Africa,472,Thousand metric tons
FoodProcessing,1985,Asia (ex China),1163,Thousand metric tons
FoodProcessing,1985,China (Estimated),0,Thousand metric tons
FoodProcessing,1985,East & Central Europe,0,Thousand metric tons
FoodProcessing,1985,GCC,0,Thousand metric tons
FoodProcessing,1985,North America,4781,Thousand metric tons
FoodProcessing,1985,Oceania,1091,Thousand metric tons
FoodProcessing,1985,South America,1160,Thousand metric tons
FoodProcessing,1985,West Europe,3327,Thousand metric tons
FoodProcessing,1986,Africa,556,Thousand metric tons
FoodProcessing,1986,Asia (ex China),1074,Thousand metric tons
FoodProcessing,1986,China (Estimated),0,Thousand metric tons
FoodProcessing,1986,East & Central Europe,0,Thousand metric tons
FoodProcessing,1986,GCC,0,Thousand metric tons
FoodProcessing,1986,North America,4402,Thousand metric tons
FoodProcessing,1986,Oceania,1119,Thousand metric tons
FoodProcessing,1986,South America,1397,Thousand metric tons
FoodProcessing,1986,West Europe,3399,Thousand metric tons
FoodProcessing,1987,Africa,572,Thousand metric tons
FoodProcessing,1987,Asia (ex China),927,Thousand metric tons
FoodProcessing,1987,China (Estimated),0,Thousand metric tons
FoodProcessing,1987,East & Central Europe,0,Thousand metric tons
FoodProcessing,1987,GCC,0,Thousand metric tons
FoodProcessing,1987,North America,4889,Thousand metric tons
FoodProcessing,1987,Oceania,1273,Thousand metric tons
FoodProcessing,1987,South America,1486,Thousand metric tons
FoodProcessing,1987,West Europe,3462,Thousand metric tons
FoodProcessing,1988,Africa,597,Thousand metric tons
FoodProcessing,1988,Asia (ex China),981,Thousand metric tons
FoodProcessing,1988,China (Estimated),0,Thousand metric tons
FoodProcessing,1988,East & Central Europe,0,Thousand metric tons
FoodProcessing,1988,GCC,0,Thousand metric tons
FoodProcessing,1988,North America,5475,Thousand metric tons
FoodProcessing,1988,Oceania,1407,Thousand metric tons
FoodProcessing,1988,South America,1553,Thousand metric tons
FoodProcessing,1988,West Europe,3488,Thousand metric tons
FoodProcessing,1989,Africa,603,Thousand metric tons
FoodProcessing,1989,Asia (ex China),1093,Thousand metric tons
FoodProcessing,1989,China (Estimated),0,Thousand metric tons
FoodProcessing,1989,East & Central Europe,0,Thousand metric tons
FoodProcessing,1989,GCC,0,Thousand metric tons
FoodProcessing,1989,North America,5587,Thousand metric tons
FoodProcessing,1989,Oceania,1501,Thousand metric tons
FoodProcessing,1989,South America,1698,Thousand metric tons
FoodProcessing,1989,West Europe,3580,Thousand metric tons
FoodProcessing,1990,Africa,602,Thousand metric tons
FoodProcessing,1990,Asia (ex China),1118,Thousand metric tons
FoodProcessing,1990,China (Estimated),0,Thousand metric tons
FoodProcessing,1990,East & Central Europe,0,Thousand metric tons
FoodProcessing,1990,GCC,0,Thousand metric tons
FoodProcessing,1990,North America,5617,Thousand metric tons
FoodProcessing,1990,Oceania,1498,Thousand metric tons
FoodProcessing,1990,South America,1790,Thousand metric tons
FoodProcessing,1990,West Europe,3561,Thousand metric tons
FoodProcessing,1991,Africa,612,Thousand metric tons
FoodProcessing,1991,Asia (ex China),1223,Thousand metric tons
FoodProcessing,1991,China (Estimated),0,Thousand metric tons
FoodProcessing,1991,East & Central Europe,0,Thousand metric tons
FoodProcessing,1991,GCC,0,Thousand metric tons
FoodProcessing,1991,North America,5947,Thousand metric tons
FoodProcessing,1991,Oceania,1495,Thousand metric tons
FoodProcessing,1991,South America,1996,Thousand metric tons
FoodProcessing,1991,West Europe,3505,Thousand metric tons
FoodProcessing,1992,Africa,617,Thousand metric tons
FoodProcessing,1992,Asia (ex China),1379,Thousand metric tons
FoodProcessing,1992,China (Estimated),0,Thousand metric tons
FoodProcessing,1992,East & Central Europe,0,Thousand metric tons
FoodProcessing,1992,GCC,0,Thousand metric tons
FoodProcessing,1992,North America,6016,Thousand metric tons
FoodProcessing,1992,Oceania,1483,Thousand metric tons
FoodProcessing,1992,South America,1949,Thousand metric tons
FoodProcessing,1992,West Europe,3319,Thousand metric tons
FoodProcessing,1993,Africa,616,Thousand metric tons
FoodProcessing,1993,Asia (ex China),1530,Thousand metric tons
FoodProcessing,1993,China (Estimated),0,Thousand metric tons
FoodProcessing,1993,East & Central Europe,0,Thousand metric tons
FoodProcessing,1993,GCC,0,Thousand metric tons
FoodProcessing,1993,North America,6000,Thousand metric tons
FoodProcessing,1993,Oceania,1653,Thousand metric tons
FoodProcessing,1993,South America,1949,Thousand metric tons
FoodProcessing,1993,West Europe,3236,Thousand metric tons
FoodProcessing,1994,Africa,576,Thousand metric tons
FoodProcessing,1994,Asia (ex China),1585,Thousand metric tons
FoodProcessing,1994,China (Estimated),0,Thousand metric tons
FoodProcessing,1994,East & Central Europe,0,Thousand metric tons
FoodProcessing,1994,GCC,0,Thousand metric tons
FoodProcessing,1994,North America,5554,Thousand metric tons
FoodProcessing,1994,Oceania,1583,Thousand metric tons
FoodProcessing,1994,South America,1976,Thousand metric tons
FoodProcessing,1994,West Europe,3961,Thousand metric tons
FoodProcessing,1995,Africa,631,Thousand metric tons
FoodProcessing,1995,Asia (ex China),1656,Thousand metric tons
FoodProcessing,1995,China (Estimated),0,Thousand metric tons
FoodProcessing,1995,East & Central Europe,0,Thousand metric tons
FoodProcessing,1995,GCC,0,Thousand metric tons
FoodProcessing,1995,North America,5546,Thousand metric tons
FoodProcessing,1995,Oceania,1566,Thousand metric tons
FoodProcessing,1995,South America,2058,Thousand metric tons
FoodProcessing,1995,West Europe,5885,Thousand metric tons
FoodProcessing,1996,Africa,1015,Thousand metric tons
FoodProcessing,1996,Asia (ex China),1624,Thousand metric tons
FoodProcessing,1996,China (Estimated),0,Thousand metric tons
FoodProcessing,1996,East & Central Europe,3185,Thousand metric tons
FoodProcessing,1996,GCC,0,Thousand metric tons
FoodProcessing,1996,North America,5860,Thousand metric tons
FoodProcessing,1996,Oceania,1656,Thousand metric tons
FoodProcessing,1996,South America,2107,Thousand metric tons
